id,teks,label,kategori
1,Dosen memberikan materi pembelajaran melalui LMS universitas.,valid,literasi digital
2,Literasi digital membantu mahasiswa memilah informasi akademik yang benar.,valid,sumber informasi
3,Mahasiswa perlu melakukan sitasi untuk menghindari plagiarisme.,valid,pembelajaran digital
4,Universitas menyediakan pelatihan penggunaan platform pembelajaran digital.,valid,literasi digital
5,Mahasiswa dianjurkan menggunakan sumber jurnal resmi untuk menyusun tugas akademik.,valid,etika akademik
6,Penggunaan AI dalam pendidikan harus tetap memperhatikan etika akademik.,valid,kualitas pendidikan
7,Mahasiswa dianjurkan memverifikasi informasi sebelum membagikannya di media sosial.,valid,kualitas pendidikan
8,Perpustakaan digital kampus menyediakan akses e-book dan jurnal ilmiah.,valid,plagiarisme
9,Penggunaan teknologi pembelajaran dapat meningkatkan efektivitas proses belajar.,valid,ai dalam pendidikan
10,Diskusi daring dapat membantu meningkatkan kolaborasi antar mahasiswa.,valid,pembelajaran digital
11,Semua website di internet dapat dijadikan sumber ilmiah tanpa verifikasi.,tidak_valid,ai dalam pendidikan
12,Sitasi tidak penting dalam penulisan karya ilmiah.,tidak_valid,kualitas pendidikan
13,Informasi hoaks boleh dibagikan jika terlihat menarik.,tidak_valid,pembelajaran digital
14,Mahasiswa tidak perlu memahami literasi digital dalam perkuliahan.,tidak_valid,lms kampus
15,Penggunaan AI untuk membuat tugas tanpa pengecekan diperbolehkan sepenuhnya.,tidak_valid,plagiarisme
16,Plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu.,tidak_valid,sumber informasi
17,Mahasiswa bebas menyalin skripsi orang lain tanpa mencantumkan sumber.,tidak_valid,media pembelajaran
18,Dosen melarang penggunaan platform digital untuk pembelajaran.,tidak_valid,pembelajaran digital
19,Mahasiswa tidak perlu mengecek kebenaran berita pendidikan yang diterima.,tidak_valid,lms kampus
20,Semua informasi dari media sosial pasti benar untuk dijadikan referensi akademik.,tidak_valid,jurnal ilmiah
21,Saya mendapatkan informasi bahwa Mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
22,Saya mendapatkan informasi bahwa Tugas kuliah boleh sepenuhnya disalin dari internet tanpa membaca isinya. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
23,Apakah informasi ini valid: IPS adalah Indeks Prestasi Semester yang menunjukkan capaian nilai mahasiswa dalam satu semester. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
24,Apakah benar bahwa IPS adalah Indeks Prestasi Semester yang menunjukkan capaian nilai mahasiswa dalam satu semester. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
25,Saya mendapatkan informasi bahwa informasi bantuan pendidikan yang meminta transfer ke rekening pribadi pasti resmi.,tidak_valid,hoaks beasiswa
26,Di grup mahasiswa tertulis bahwa Semua informasi viral tentang kampus pasti benar karena banyak dibagikan. Mohon dijelaskan secara singkat.,tidak_valid,literasi digital
27,Di grup mahasiswa tertulis bahwa Proposal penelitian digunakan untuk menjelaskan rencana penelitian sebelum pelaksanaan penelitian dilakukan. Mohon dijelaskan secara singkat.,valid,penelitian dan skripsi
28,Mahasiswa baru biasanya mengikuti kegiatan pengenalan kampus untuk memahami lingkungan akademik dan aturan perkuliahan.,valid,informasi kampus
29,"Tolong cek informasi ini: Pembelajaran daring membutuhkan koneksi internet, perangkat pendukung, dan kedisiplinan mahasiswa. Mohon dijelaskan secara singkat.",valid,teknologi pendidikan
30,"Tolong cek informasi ini: Silabus berisi gambaran materi, capaian pembelajaran, metode penilaian, dan rencana kegiatan perkuliahan. Mohon dijelaskan secara singkat.",valid,perkuliahan
31,Bisakah chatbot menilai informasi berikut: situs yang meminta PIN ATM untuk bantuan pendidikan dapat dipercaya jika tampilannya mirip website resmi.,tidak_valid,keamanan digital
32,Mohon bantu periksa: Praktikum membantu mahasiswa menerapkan teori ke dalam kegiatan percobaan atau praktik langsung. Mohon dijelaskan secara singkat.,valid,perkuliahan
33,Saya mendapatkan informasi bahwa mahasiswa perlu menjaga data pribadi ketika menggunakan layanan digital kampus.,valid,keamanan digital
34,Ada informasi yang menyatakan bahwa kode OTP beasiswa harus dikirim ke admin pribadi agar bantuan pendidikan dapat dicairkan.,tidak_valid,hoaks beasiswa
35,Tolong cek informasi ini: password akun akademik harus dijaga kerahasiaannya agar tidak disalahgunakan pihak lain.,valid,keamanan digital
36,"Saya mendapatkan informasi bahwa informasi valid biasanya memiliki sumber jelas, dapat diverifikasi, dan tidak menggunakan klaim berlebihan.",valid,literasi digital
37,Mohon bantu periksa: Password portal akademik boleh dibagikan kepada teman agar proses akademik lebih cepat. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
38,Benarkah tugas kuliah boleh sepenuhnya disalin dari internet tanpa membaca isinya.,tidak_valid,etika akademik
39,Mohon bantu periksa: plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu.,tidak_valid,etika akademik
40,"Apakah informasi ini valid: lMS dapat digunakan untuk mengakses materi, mengumpulkan tugas, mengikuti kuis, dan melihat informasi pembelajaran.",valid,teknologi pendidikan
41,Apakah informasi ini valid: tugas kuliah boleh sepenuhnya disalin dari internet tanpa membaca isinya.,tidak_valid,etika akademik
